"","ID","OutcomeType","AnimalType","HasName","AgeinDays","IsMix","SimpleColor","IsNeutered","Gender"
"64","A712236","Adoption","Dog",1,"Less than 2 years",1,23,1,"F"
"66","A714740","Return_to_owner","Dog",1,"Over 3 years",1,27,1,"F"
"67","A691847","Transfer","Dog",1,"Less than a year",1,3,1,"M"
"72","A701575","Transfer","Dog",1,"Less than 2 years",1,5,1,"M"
"74","A706446","Return_to_owner","Cat",1,"Less than a year",1,3,0,"F"
"78","A675021","Euthanasia","Cat",0,"Less than a year",1,7,0,"F"
"79","A704179","Adoption","Dog",1,"Less than a year",1,3,1,"M"
"80","A717839","Transfer","Cat",0,"Less than 2 years",1,3,1,"F"
"81","A700740","Adoption","Dog",1,"Less than a year",0,27,1,"M"
"86","A687789","Adoption","Dog",0,"Less than a year",1,5,1,"M"
"88","A707531","Transfer","Cat",0,"Less than a year",1,3,0,"M"
"89","A677594","Transfer","Dog",0,"Less than a year",1,3,0,"F"
"90","A667155","Adoption","Cat",0,"Less than a year",1,7,1,"F"
"91","A717147","Adoption","Dog",1,"Less than a year",1,5,1,"M"
"92","A687012","Adoption","Dog",1,"Less than 3 years",1,3,1,"F"
"93","A676200","Transfer","Dog",1,"Over 3 years",0,27,1,"F"
"94","A676680","Euthanasia","Dog",1,"Less than 2 years",1,3,1,"F"
"95","A688443","Adoption","Cat",1,"Less than a year",1,3,1,"F"
"96","A715261","Adoption","Dog",1,"Over 3 years",1,27,1,"F"
"99","A690658","Transfer","Cat",0,"Less than 3 years",1,3,0,"M"
"101","A679721","Adoption","Dog",1,"Over 3 years",1,23,1,"M"
"103","A665298","Transfer","Cat",0,"Less than a year",1,4,0,"F"
"105","A670681","Transfer","Cat",1,"Over 3 years",1,24,1,"F"
"106","A699990","Return_to_owner","Dog",1,"Over 3 years",1,23,1,"M"
"107","A707767","Adoption","Cat",1,"Less than a year",1,5,1,"M"
"108","A668362","Return_to_owner","Dog",1,"Less than 2 years",1,3,1,"F"
"110","A674802","Return_to_owner","Dog",1,"Over 3 years",1,3,1,"M"
"111","A672410","Return_to_owner","Dog",1,"Over 3 years",1,26,1,"M"
"113","A663339","Adoption","Dog",1,"Less than 2 years",1,10,1,"F"
"114","A678229","Transfer","Cat",0,"Less than a year",1,5,0,"M"
"115","A698694","Transfer","Dog",1,"Less than a year",1,27,0,"M"
"116","A695971","Euthanasia","Cat",0,"Over 3 years",1,17,0,"M"
"117","A674233","Adoption","Dog",1,"Less than a year",1,23,1,"F"
"118","A713392","Transfer","Dog",1,"Less than a year",1,3,0,"M"
"119","A713968","Transfer","Cat",1,"Less than a year",1,7,0,"F"
"120","A701428","Return_to_owner","Dog",1,"Less than 3 years",1,5,1,"F"
"126","A674530","Adoption","Dog",1,"Over 3 years",0,3,1,"M"
"127","A718604","Adoption","Dog",1,"Less than a year",1,27,1,"M"
"128","A686520","Transfer","Cat",0,"Less than a year",1,5,0,"M"
"130","A394547","Return_to_owner","Dog",1,"Over 3 years",1,8,1,"F"
"131","A662685","Adoption","Dog",1,"Less than 3 years",1,18,1,"F"
"133","A707781","Adoption","Dog",1,"Less than a year",1,3,1,"F"
"134","A694699","Transfer","Dog",1,"Less than 2 years",1,3,1,"F"
"135","A696350","Return_to_owner","Dog",1,"Less than a year",0,5,1,"F"
"137","A698341","Return_to_owner","Dog",1,"Less than 2 years",1,5,1,"F"
"138","A681481","Transfer","Cat",0,"Less than 2 years",1,4,0,"F"
"140","A689601","Adoption","Dog",1,"Less than a year",1,26,1,"F"
"141","A685062","Adoption","Cat",0,"Less than a year",1,17,1,"M"
"143","A719480","Transfer","Cat",1,"Less than 2 years",1,5,1,"F"
"144","A702880","Adoption","Cat",1,"Less than a year",1,7,1,"F"
"148","A689690","Transfer","Dog",1,"Less than a year",1,5,0,"F"
"151","A707896","Adoption","Cat",1,"Less than 2 years",1,5,1,"M"
"152","A702014","Adoption","Dog",1,"Less than a year",1,4,1,"F"
"153","A673626","Transfer","Dog",0,"Less than a year",1,26,1,"M"
"157","A682599","Adoption","Cat",1,"Less than a year",0,7,1,"F"
"158","A685452","Transfer","Dog",0,"Less than a year",1,18,0,"F"
"159","A688067","Transfer","Cat",0,"Less than a year",1,24,0,"F"
"160","A714069","Adoption","Cat",1,"Less than a year",1,3,1,"M"
"161","A705924","Transfer","Dog",1,"Over 3 years",1,5,1,"M"
"162","A717167","Adoption","Cat",1,"Over 3 years",1,3,1,"M"
"163","A711639","Transfer","Cat",0,"Less than a year",1,25,0,"F"
"167","A707437","Adoption","Cat",0,"Less than a year",1,3,1,"M"
"168","A706387","Adoption","Cat",1,"Less than a year",1,4,1,"F"
"169","A720668","Return_to_owner","Dog",0,"Less than a year",1,27,1,"F"
"170","A679341","Transfer","Cat",1,"Less than a year",1,5,0,"M"
"174","A666444","Transfer","Cat",1,"Over 3 years",1,25,1,"F"
"175","A701153","Adoption","Dog",0,"Less than a year",1,26,1,"M"
"176","A710071","Transfer","Cat",1,"Less than a year",1,27,1,"M"
"177","A714602","Adoption","Cat",1,"Less than a year",1,5,0,"F"
"178","A700707","Adoption","Dog",1,"Less than a year",1,3,1,"F"
"179","A702563","Return_to_owner","Dog",1,"Over 3 years",1,27,1,"F"
"180","A679441","Transfer","Cat",0,"Less than a year",1,9,0,"M"
"181","A715729","Return_to_owner","Dog",1,"Over 3 years",0,27,1,"M"
"183","A714462","Return_to_owner","Dog",1,"Less than a year",1,27,1,"F"
"184","A717429","Return_to_owner","Dog",1,"Less than 2 years",1,5,1,"M"
"185","A687336","Transfer","Cat",0,"Less than a year",1,5,0,"F"
"188","A664304","Transfer","Cat",0,"Less than a year",1,17,0,"M"
"189","A698066","Transfer","Dog",1,"Over 3 years",1,27,1,"F"
"190","A680585","Adoption","Cat",1,"Less than a year",1,5,1,"F"
"191","A699715","Transfer","Dog",1,"Over 3 years",1,27,1,"F"
"192","A702246","Adoption","Dog",0,"Less than a year",1,3,1,"F"
"193","A711918","Adoption","Dog",1,"Less than 3 years",1,18,1,"F"
"194","A676430","Adoption","Cat",1,"Less than a year",1,24,1,"F"
"195","A677577","Adoption","Dog",1,"Less than a year",1,18,1,"F"
"196","A683666","Transfer","Cat",0,"Less than a year",1,27,1,"M"
"198","A703631","Adoption","Dog",1,"Less than a year",1,3,1,"M"
"199","A676209","Adoption","Dog",1,"Less than a year",1,28,1,"M"
"202","A676056","Return_to_owner","Dog",1,"Less than 2 years",1,23,1,"M"
"203","A667963","Adoption","Dog",0,"Over 3 years",1,23,1,"F"
"204","A702207","Euthanasia","Cat",0,"Over 3 years",1,17,1,"M"
"205","A672065","Adoption","Dog",1,"Less than 2 years",1,20,1,"F"
"206","A688852","Adoption","Dog",1,"Over 3 years",1,3,1,"M"
"207","A705885","Adoption","Cat",1,"Less than a year",1,3,1,"M"
"208","A670949","Return_to_owner","Dog",1,"Less than a year",1,26,1,"F"
"210","A714575","Transfer","Cat",1,"Over 3 years",1,3,0,"F"
"211","A690480","Transfer","Dog",0,"Less than a year",1,8,0,"F"
"212","A691636","Adoption","Dog",1,"Less than a year",1,27,1,"M"
"215","A716839","Return_to_owner","Dog",1,"Less than 2 years",1,5,0,"M"
"216","A718547","Adoption","Dog",0,"Less than 2 years",1,23,1,"F"
"218","A694408","Transfer","Dog",1,"Less than a year",1,5,1,"F"
"219","A698940","Transfer","Cat",0,"Less than 2 years",1,5,0,"M"
"220","A666074","Transfer","Cat",1,"Less than a year",1,5,0,"M"
"221","A675549","Transfer","Dog",1,"Over 3 years",1,27,1,"M"
"222","A682131","Transfer","Cat",0,"Less than a year",1,5,0,"M"
"223","A674737","Adoption","Cat",1,"Less than a year",1,3,0,"M"
"224","A719876","Transfer","Dog",1,"Less than a year",1,27,1,"F"
"225","A676626","Adoption","Dog",1,"Less than a year",1,5,1,"F"
"226","A666478","Adoption","Dog",1,"Less than a year",1,3,1,"F"
"227","A683507","Adoption","Dog",0,"Less than 3 years",1,6,1,"F"
"228","A487470","Euthanasia","Dog",1,"Over 3 years",1,3,1,"M"
"229","A665661","Return_to_owner","Cat",1,"Less than 2 years",1,27,1,"F"
"230","A668260","Transfer","Dog",0,"Over 3 years",0,3,1,"F"
"231","A716964","Return_to_owner","Dog",1,"Less than 2 years",1,3,0,"M"
"232","A701029","Return_to_owner","Dog",1,"Less than 2 years",0,5,1,"M"
"234","A684709","Transfer","Cat",0,"Less than a year",1,5,0,"F"
"235","A616229","Adoption","Cat",1,"Over 3 years",1,3,1,"F"
"237","A701898","Return_to_owner","Dog",1,"Less than a year",1,23,1,"F"
"238","A666971","Adoption","Cat",0,"Less than a year",1,17,1,"M"
"239","A691605","Return_to_owner","Dog",1,"Over 3 years",1,5,1,"F"
"243","A716890","Adoption","Cat",1,"Less than a year",1,5,1,"F"
"246","A668122","Adoption","Dog",0,"Over 3 years",0,15,1,"F"
"247","A702356","Euthanasia","Cat",0,"Less than a year",1,27,0,"M"
"248","A664842","Return_to_owner","Dog",1,"Less than 2 years",1,5,1,"F"
"249","A709067","Return_to_owner","Dog",1,"Less than a year",1,3,0,"F"
"250","A608918","Transfer","Dog",1,"Over 3 years",1,3,1,"M"
"251","A651596","Return_to_owner","Dog",1,"Less than 2 years",1,6,1,"M"
"252","A720190","Transfer","Dog",1,"Over 3 years",1,26,1,"F"
"254","A666504","Transfer","Cat",0,"Less than a year",1,17,1,"M"
"257","A713337","Transfer","Cat",0,"Less than 3 years",1,4,0,"F"
"258","A672758","Transfer","Dog",1,"Over 3 years",1,23,1,"F"
"259","A658690","Adoption","Dog",1,"Less than a year",1,3,1,"F"
"260","A708390","Adoption","Dog",1,"Less than 2 years",1,3,1,"F"
"263","A699816","Adoption","Dog",1,"Over 3 years",1,23,1,"F"
"264","A701791","Adoption","Cat",1,"Less than 2 years",1,5,1,"F"
"265","A625690","Return_to_owner","Dog",1,"Over 3 years",1,27,1,"F"
"266","A686406","Adoption","Dog",0,"Less than a year",1,23,1,"M"
"270","A683309","Euthanasia","Dog",0,"Over 3 years",1,23,1,"F"
"271","A640316","Adoption","Dog",1,"Less than a year",1,3,1,"M"
"272","A682760","Adoption","Dog",1,"Less than a year",1,27,1,"M"
"273","A701707","Transfer","Cat",0,"Less than a year",1,17,0,"F"
"274","A669534","Transfer","Cat",0,"Less than a year",1,17,0,"F"
"275","A588218","Return_to_owner","Dog",1,"Over 3 years",0,3,1,"M"
"276","A669795","Return_to_owner","Dog",1,"Less than 2 years",1,3,1,"F"
"277","A674448","Adoption","Dog",1,"Less than a year",1,27,1,"M"
"278","A701647","Transfer","Cat",0,"Less than a year",1,3,0,"F"
"279","A672467","Adoption","Dog",1,"Less than a year",1,10,1,"M"
"280","A712244","Transfer","Cat",0,"Less than a year",1,3,0,"F"
"282","A715761","Transfer","Cat",0,"Over 3 years",1,7,1,"F"
"283","A720860","Adoption","Dog",0,"Less than a year",1,8,1,"F"
"285","A710881","Adoption","Cat",1,"Less than a year",1,17,1,"F"
"286","A663948","Return_to_owner","Cat",1,"Less than a year",0,3,1,"M"
"287","A699819","Return_to_owner","Dog",1,"Over 3 years",1,8,0,"M"
"288","A674638","Return_to_owner","Dog",1,"Over 3 years",1,8,1,"M"
"289","A718743","Adoption","Dog",1,"Less than 2 years",0,13,1,"M"
"290","A714820","Transfer","Dog",1,"Less than a year",1,5,1,"F"
"291","A667613","Adoption","Dog",1,"Less than a year",1,23,1,"M"
"293","A690806","Transfer","Cat",1,"Less than a year",1,3,0,"F"
"295","A689138","Euthanasia","Cat",0,"Less than a year",1,4,0,"F"
"296","A599155","Euthanasia","Dog",1,"Over 3 years",1,27,1,"M"
"297","A665587","Adoption","Cat",1,"Over 3 years",1,17,1,"M"
"298","A663555","Adoption","Cat",1,"Less than a year",1,7,1,"F"
"299","A691345","Adoption","Dog",1,"Less than a year",1,5,1,"F"
"300","A685242","Adoption","Cat",0,"Less than a year",1,25,1,"F"
"302","A683609","Return_to_owner","Dog",1,"Over 3 years",1,5,1,"M"
"304","A713063","Transfer","Dog",0,"Less than a year",1,23,1,"F"
"305","A667520","Transfer","Dog",0,"Over 3 years",1,2,1,"M"
"306","A685145","Adoption","Cat",1,"Less than a year",1,4,1,"M"
"307","A716488","Transfer","Dog",0,"Less than 2 years",1,18,1,"M"
"308","A667537","Adoption","Dog",0,"Less than a year",1,18,1,"F"
"309","A694601","Adoption","Cat",1,"Less than a year",1,3,1,"M"
"311","A672067","Return_to_owner","Cat",1,"Less than 3 years",1,5,1,"M"
"312","A684664","Adoption","Dog",1,"Less than 2 years",1,5,1,"M"
"313","A691531","Transfer","Dog",0,"Less than a year",1,27,0,"M"
"314","A688600","Transfer","Cat",0,"Less than a year",1,25,0,"F"
"316","A703630","Adoption","Dog",1,"Over 3 years",1,5,1,"M"
"318","A696247","Adoption","Dog",1,"Less than 2 years",1,8,1,"F"
"320","A678185","Transfer","Dog",0,"Less than 2 years",1,3,1,"F"
"321","A687055","Return_to_owner","Dog",1,"Over 3 years",1,20,1,"F"
"322","A693594","Transfer","Cat",0,"Less than a year",1,3,0,"M"
"323","A675563","Transfer","Cat",1,"Less than a year",1,7,0,"F"
"324","A696819","Adoption","Dog",1,"Less than a year",1,20,1,"M"
"326","A715573","Adoption","Dog",0,"Less than a year",1,6,1,"M"
"330","A678958","Adoption","Dog",1,"Less than a year",1,26,1,"M"
"332","A671079","Adoption","Dog",0,"Less than 2 years",1,23,1,"F"
"333","A687180","Adoption","Cat",0,"Less than a year",1,17,1,"F"
"334","A686632","Return_to_owner","Cat",1,"Less than a year",1,27,1,"M"
"335","A693999","Transfer","Dog",0,"Over 3 years",1,3,1,"F"
"336","A691614","Adoption","Dog",1,"Less than a year",1,18,1,"M"
"338","A703781","Transfer","Dog",1,"Over 3 years",0,4,0,"M"
"339","A668803","Adoption","Dog",1,"Less than a year",1,3,1,"F"
"340","A675983","Transfer","Cat",0,"Less than a year",1,4,0,"F"
"341","A684825","Transfer","Cat",1,"Less than a year",1,3,0,"M"
"342","A667828","Transfer","Cat",0,"Less than a year",1,3,0,"F"
"343","A707611","Adoption","Cat",1,"Less than a year",1,24,0,"F"
"345","A675622","Adoption","Dog",0,"Less than a year",1,26,1,"M"
"346","A720143","Transfer","Cat",0,"Less than a year",1,5,0,"M"
"348","A682824","Transfer","Cat",0,"Less than a year",1,3,0,"M"
"349","A711494","Adoption","Cat",1,"Less than a year",1,17,1,"F"
"350","A686319","Adoption","Dog",1,"Over 3 years",1,5,1,"M"
"351","A671251","Return_to_owner","Dog",1,"Less than 2 years",1,10,1,"F"
"352","A684978","Transfer","Cat",0,"Less than a year",1,5,0,"F"
"353","A689449","Adoption","Cat",1,"Less than a year",1,3,1,"F"
"354","A715812","Adoption","Dog",0,"Less than a year",1,23,1,"F"
"355","A681003","Transfer","Dog",0,"Less than 2 years",1,3,1,"M"
"356","A715346","Adoption","Dog",1,"Less than a year",1,27,1,"F"
"357","A683732","Transfer","Cat",0,"Less than a year",1,4,0,"M"
"358","A679956","Return_to_owner","Dog",1,"Less than a year",0,10,1,"M"
"359","A695297","Adoption","Cat",1,"Less than a year",1,5,1,"F"
"360","A695950","Adoption","Dog",1,"Less than 2 years",1,5,1,"F"
"361","A694278","Transfer","Dog",1,"Over 3 years",0,3,1,"F"
"362","A707887","Adoption","Cat",1,"Less than a year",1,5,1,"M"
"365","A693739","Transfer","Cat",1,"Less than a year",1,3,1,"F"
"367","A677157","Return_to_owner","Dog",1,"Over 3 years",1,28,0,"F"
"368","A697921","Adoption","Dog",1,"Less than a year",1,3,1,"F"
"369","A686691","Transfer","Dog",0,"Less than 3 years",1,28,1,"M"
"370","A678627","Adoption","Cat",1,"Less than a year",1,7,1,"F"
"372","A656110","Return_to_owner","Dog",1,"Less than a year",1,26,1,"F"
"374","A678099","Euthanasia","Dog",1,"Less than 2 years",1,23,1,"M"
"376","A673784","Transfer","Dog",1,"Less than a year",1,4,1,"M"
"378","A671889","Return_to_owner","Dog",1,"Over 3 years",1,23,1,"F"
"379","A697627","Adoption","Dog",1,"Less than 2 years",1,8,1,"F"
"380","A685945","Adoption","Dog",1,"Over 3 years",1,23,1,"M"
"382","A699499","Adoption","Cat",0,"Less than a year",1,3,1,"M"
"383","A715735","Transfer","Dog",1,"Less than a year",0,6,0,"M"
"384","A688501","Transfer","Cat",1,"Less than a year",1,3,1,"M"
"385","A672263","Transfer","Dog",1,"Less than 2 years",1,27,1,"F"
"386","A672744","Euthanasia","Dog",1,"Less than 3 years",1,3,0,"M"
"387","A701165","Transfer","Cat",0,"Less than a year",0,4,0,"M"
"389","A705338","Transfer","Cat",0,"Less than a year",1,25,0,"F"
"390","A696609","Transfer","Dog",1,"Less than 2 years",0,3,1,"F"
"392","A685178","Transfer","Cat",0,"Less than a year",1,4,0,"M"
"393","A689596","Adoption","Dog",0,"Less than 2 years",1,27,1,"M"
"394","A714546","Return_to_owner","Dog",1,"Less than a year",1,18,0,"M"
"396","A705656","Euthanasia","Cat",1,"Less than a year",1,25,0,"F"
"397","A695943","Adoption","Dog",1,"Less than 2 years",1,26,1,"M"
"398","A719517","Transfer","Cat",0,"Less than 2 years",1,5,1,"M"
"400","A713263","Return_to_owner","Dog",1,"Less than 3 years",0,5,0,"M"
"401","A681679","Transfer","Dog",1,"Less than a year",1,5,1,"M"
"403","A678536","Adoption","Dog",1,"Less than a year",1,27,1,"F"
"405","A543073","Return_to_owner","Dog",1,"Over 3 years",0,5,1,"F"
"406","A697959","Adoption","Dog",1,"Less than 2 years",1,5,1,"M"
"407","A715378","Adoption","Dog",1,"Less than a year",1,27,1,"F"
"408","A697281","Adoption","Dog",0,"Less than a year",1,26,1,"M"
"409","A681576","Adoption","Dog",1,"Less than a year",1,8,1,"M"
"410","A716400","Transfer","Dog",1,"Less than a year",1,3,0,"F"
"413","A710655","Adoption","Cat",1,"Less than a year",1,14,0,"M"
"415","A660910","Return_to_owner","Dog",1,"Less than 2 years",1,5,1,"M"
"416","A686377","Adoption","Dog",0,"Less than a year",1,5,1,"M"
"417","A679631","Euthanasia","Cat",1,"Over 3 years",1,25,1,"F"
"418","A671682","Transfer","Cat",0,"Less than 2 years",1,4,1,"M"
"419","A695654","Euthanasia","Dog",1,"Less than a year",1,3,0,"F"
"420","A718566","Euthanasia","Cat",1,"Over 3 years",1,5,0,"F"
"422","A680506","Adoption","Dog",1,"Less than a year",1,6,1,"M"
"423","A650694","Return_to_owner","Dog",1,"Less than a year",1,4,1,"M"
"424","A681414","Transfer","Cat",0,"Less than 2 years",1,25,0,"F"
"427","A698953","Adoption","Dog",0,"Over 3 years",1,27,1,"F"
"429","A690020","Return_to_owner","Dog",1,"Less than a year",1,5,0,"F"
"431","A707004","Adoption","Cat",1,"Less than a year",1,27,1,"M"
"432","A667031","Transfer","Cat",1,"Less than 2 years",1,27,1,"F"
"433","A667129","Adoption","Cat",1,"Less than a year",1,3,1,"F"
"434","A700119","Transfer","Cat",0,"Less than a year",1,24,0,"F"
"435","A676270","Adoption","Cat",0,"Less than a year",1,5,1,"F"
"436","A684362","Adoption","Cat",1,"Less than a year",1,25,1,"F"
"437","A712984","Transfer","Cat",1,"Less than a year",1,17,1,"M"
"438","A688544","Transfer","Cat",1,"Less than a year",1,5,0,"F"
"441","A667366","Return_to_owner","Dog",0,"Less than 3 years",1,3,1,"F"
"442","A657652","Adoption","Dog",1,"Less than 3 years",1,3,1,"M"
"444","A707464","Adoption","Dog",1,"Less than a year",1,27,0,"M"
"445","A687966","Adoption","Cat",0,"Less than a year",1,5,1,"M"
"446","A643703","Return_to_owner","Dog",1,"Less than 3 years",1,28,1,"M"
"447","A668595","Return_to_owner","Dog",0,"Less than a year",1,26,0,"M"
"448","A716197","Return_to_owner","Cat",1,"Less than a year",1,24,1,"F"
"449","A713418","Transfer","Dog",0,"Less than a year",1,6,0,"M"
"451","A716766","Return_to_owner","Dog",1,"Over 3 years",1,3,1,"M"
"452","A616576","Return_to_owner","Dog",1,"Over 3 years",1,26,1,"F"
"453","A705109","Adoption","Cat",0,"Less than a year",1,4,1,"F"
"456","A713084","Adoption","Dog",1,"Over 3 years",1,6,1,"M"
"461","A653055","Return_to_owner","Dog",1,"Less than 2 years",1,3,1,"F"
"462","A682724","Adoption","Cat",1,"Less than a year",1,3,1,"M"
"463","A713886","Adoption","Cat",1,"Less than a year",1,17,1,"M"
"464","A668396","Euthanasia","Cat",0,"Over 3 years",1,16,1,"M"
"466","A707573","Return_to_owner","Dog",1,"Over 3 years",1,27,1,"M"
"467","A690543","Return_to_owner","Dog",1,"Less than a year",1,8,1,"F"
"468","A704459","Return_to_owner","Dog",1,"Over 3 years",1,9,1,"F"
"469","A687643","Transfer","Cat",0,"Less than a year",1,4,0,"F"
"470","A675640","Return_to_owner","Dog",1,"Less than 2 years",1,3,1,"M"
"473","A705804","Return_to_owner","Dog",1,"Less than 3 years",1,5,1,"M"
"476","A674264","Adoption","Dog",0,"Less than a year",1,26,1,"F"
"478","A510475","Return_to_owner","Dog",1,"Over 3 years",1,18,1,"M"
"480","A660275","Return_to_owner","Dog",1,"Less than 2 years",1,3,1,"F"
"481","A716089","Return_to_owner","Cat",0,"Less than 2 years",1,4,1,"M"
"482","A717706","Return_to_owner","Dog",1,"Less than a year",1,18,1,"F"
"483","A716729","Adoption","Cat",1,"Less than a year",1,7,1,"F"
"485","A688552","Adoption","Cat",1,"Less than a year",1,5,0,"M"
"486","A698495","Adoption","Dog",1,"Less than a year",1,23,1,"M"
"488","A672515","Transfer","Cat",0,"Less than a year",1,9,0,"M"
"489","A686675","Transfer","Dog",1,"Less than a year",1,23,1,"M"
"490","A707682","Adoption","Cat",1,"Less than a year",1,3,1,"M"
"492","A709224","Transfer","Cat",0,"Less than a year",1,7,0,"F"
"493","A687003","Return_to_owner","Dog",1,"Over 3 years",1,9,1,"M"
"495","A680426","Return_to_owner","Dog",1,"Less than 3 years",1,28,1,"F"
"496","A697537","Adoption","Dog",1,"Less than 3 years",1,3,1,"F"
"498","A705731","Transfer","Dog",1,"Less than a year",1,27,0,"M"
"499","A700025","Return_to_owner","Dog",1,"Over 3 years",1,3,0,"F"
"501","A715798","Transfer","Cat",0,"Less than a year",1,5,0,"M"
"502","A526641","Transfer","Dog",1,"Over 3 years",0,5,1,"M"
"503","A695768","Return_to_owner","Dog",1,"Less than a year",0,2,1,"F"
"505","A586923","Return_to_owner","Cat",1,"Over 3 years",1,3,1,"M"
"506","A682900","Return_to_owner","Dog",1,"Less than 3 years",1,27,0,"F"
"507","A671435","Adoption","Dog",1,"Less than a year",1,5,1,"M"
"508","A701297","Transfer","Cat",0,"Less than a year",1,5,0,"F"
"511","A697766","Return_to_owner","Dog",1,"Less than a year",1,23,1,"F"
"512","A665644","Transfer","Cat",0,"Less than a year",1,7,0,"F"
"513","A664059","Return_to_owner","Cat",1,"Over 3 years",1,4,1,"F"
"514","A676752","Transfer","Cat",1,"Less than a year",1,25,0,"F"
"515","A720466","Return_to_owner","Dog",1,"Over 3 years",0,3,1,"M"
"517","A703750","Return_to_owner","Dog",1,"Less than 3 years",1,26,1,"M"
"519","A670716","Return_to_owner","Dog",1,"Over 3 years",1,20,1,"F"
"520","A673103","Adoption","Dog",1,"Less than 3 years",1,27,1,"F"
"521","A688281","Adoption","Dog",1,"Less than a year",1,18,1,"M"
"524","A689384","Adoption","Dog",1,"Less than a year",1,5,1,"M"
"525","A671054","Adoption","Cat",1,"Less than a year",1,17,1,"F"
"526","A679167","Euthanasia","Cat",0,"Over 3 years",1,17,0,"M"
"527","A702935","Return_to_owner","Dog",1,"Less than 2 years",1,27,1,"F"
"529","A691171","Adoption","Cat",1,"Less than a year",1,9,1,"M"
"530","A693032","Adoption","Cat",1,"Over 3 years",1,17,1,"M"
"531","A663585","Transfer","Cat",1,"Less than a year",1,3,0,"F"
"534","A675402","Transfer","Dog",1,"Over 3 years",1,5,1,"F"
"535","A700765","Adoption","Cat",1,"Less than a year",1,7,1,"F"
"537","A715843","Transfer","Dog",1,"Over 3 years",1,5,1,"M"
"538","A691568","Return_to_owner","Dog",1,"Over 3 years",1,3,1,"M"
"539","A665953","Euthanasia","Cat",0,"Over 3 years",1,3,1,"M"
"540","A681155","Euthanasia","Dog",1,"Less than 2 years",1,23,1,"M"
